dimension,cue,weight,source_note
benevolence,your preference,1.2,MDS(1995) operationalisation
benevolence,guidance,1.2,MDS(1995) operationalisation
benevolence,education,1.3,MDS(1995) operationalisation
benevolence,learn,1.0,MDS(1995) operationalisation
benevolence,plain english,1.5,MDS(1995) operationalisation
benevolence,simple,1.0,MDS(1995) operationalisation
benevolence,easy to understand,1.5,MDS(1995) operationalisation
benevolence,beginner,1.2,MDS(1995) operationalisation
benevolence,beginners,1.2,MDS(1995) operationalisation
benevolence,accessible,1.2,MDS(1995) operationalisation
benevolence,get started,1.0,MDS(1995) operationalisation
benevolence,start small,1.2,MDS(1995) operationalisation
benevolence,no jargon,1.5,MDS(1995) operationalisation
benevolence,we'll explain,1.3,MDS(1995) operationalisation
benevolence,in your interest,1.5,MDS(1995) operationalisation
benevolence,on your behalf,1.3,MDS(1995) operationalisation
benevolence,your money,0.8,MDS(1995) operationalisation
benevolence,empower,1.3,MDS(1995) operationalisation
benevolence,confidence,1.0,MDS(1995) operationalisation
benevolence,peace of mind,1.2,MDS(1995) operationalisation
benevolence,looking after,1.3,MDS(1995) operationalisation
benevolence,long-term partner,1.5,MDS(1995) operationalisation
benevolence,by your side,1.3,MDS(1995) operationalisation
benevolence,care,1.0,MDS(1995) operationalisation
benevolence,designed by experts,1.0,MDS(1995) operationalisation
benevolence,works for you,1.2,MDS(1995) operationalisation
integrity,transparent,1.5,MDS(1995) operationalisation
integrity,transparency,1.5,MDS(1995) operationalisation
integrity,honest,1.5,MDS(1995) operationalisation
integrity,honestly,1.3,MDS(1995) operationalisation
integrity,clear,1.0,MDS(1995) operationalisation
integrity,clarity,1.2,MDS(1995) operationalisation
integrity,openly,1.2,MDS(1995) operationalisation
integrity,no hidden,1.5,MDS(1995) operationalisation
integrity,capital at risk,1.5,MDS(1995) operationalisation
integrity,you may get back less,1.5,MDS(1995) operationalisation
integrity,value can go down,1.3,MDS(1995) operationalisation
integrity,value of your investments,1.0,MDS(1995) operationalisation
integrity,go up and down,1.2,MDS(1995) operationalisation
integrity,fees,1.0,MDS(1995) operationalisation
integrity,costs,1.0,MDS(1995) operationalisation
integrity,no hidden fees,1.5,MDS(1995) operationalisation
integrity,transparent fees,1.5,MDS(1995) operationalisation
integrity,charges,1.0,MDS(1995) operationalisation
integrity,regulated,1.3,MDS(1995) operationalisation
integrity,fca,1.3,MDS(1995) operationalisation
integrity,authorised,1.2,MDS(1995) operationalisation
integrity,financial conduct authority,1.5,MDS(1995) operationalisation
integrity,fscs,1.3,MDS(1995) operationalisation
integrity,financial services compensation scheme,1.5,MDS(1995) operationalisation
integrity,protected,1.0,MDS(1995) operationalisation
integrity,security,1.0,MDS(1995) operationalisation
integrity,encryption,1.0,MDS(1995) operationalisation
integrity,secure,1.0,MDS(1995) operationalisation
integrity,past performance,1.3,MDS(1995) operationalisation
integrity,not a reliable guide,1.5,MDS(1995) operationalisation
integrity,no guarantee,1.2,MDS(1995) operationalisation
integrity,terms apply,0.8,MDS(1995) operationalisation
integrity,principles,1.0,MDS(1995) operationalisation
integrity,values,1.0,MDS(1995) operationalisation
integrity,integrity,1.2,MDS(1995) operationalisation
integrity,accountable,1.2,MDS(1995) operationalisation
integrity,responsible,1.0,MDS(1995) operationalisation
integrity,fair,1.0,MDS(1995) operationalisation
integrity,consistent,1.0,MDS(1995) operationalisation
integrity,where your money goes,1.5,MDS(1995) operationalisation
integrity,how we invest,1.2,MDS(1995) operationalisation
integrity,how it is invested,1.2,MDS(1995) operationalisation
trust_breaker,guaranteed returns,1.5,MDS(1995) operationalisation
trust_breaker,guaranteed,1.0,MDS(1995) operationalisation
trust_breaker,get rich,1.5,MDS(1995) operationalisation
trust_breaker,quick win,1.5,MDS(1995) operationalisation
trust_breaker,quick wins,1.5,MDS(1995) operationalisation
trust_breaker,beat the market,1.0,MDS(1995) operationalisation
trust_breaker,can't lose,1.5,MDS(1995) operationalisation
trust_breaker,risk-free,1.5,MDS(1995) operationalisation
trust_breaker,limited time,1.2,MDS(1995) operationalisation
trust_breaker,act now,1.3,MDS(1995) operationalisation
trust_breaker,don't miss out,1.3,MDS(1995) operationalisation
trust_breaker,hurry,1.2,MDS(1995) operationalisation
trust_breaker,last chance,1.3,MDS(1995) operationalisation
trust_breaker,once in a lifetime,1.2,MDS(1995) operationalisation
trust_breaker,to the moon,1.5,MDS(1995) operationalisation
trust_breaker,double your money,1.5,MDS(1995) operationalisation
trust_breaker,easy money,1.3,MDS(1995) operationalisation
